3,1,7,5,7,0,1,mwana wamambo,muranda kumwe,mudiki,anotyisa,ndihombarume,pedzisa tsumo,0,0
3,1,7,5,7,0,2,kure kwegava,ndokusina mutsubvu,kune sango,kumhiri kwerwizi,kune shumba,pedzisa tsumo,0,0
3,1,7,5,7,0,3,Sango rinopa,waneta,mangwanani,vazhinji,vakuru,pedzisa tsumo,0,0
3,1,7,5,7,0,4,Tsapata rukukwe,hazvienzane nekurara pasi,hazvienzane nekurara mugota,hazvienzane neasina,rwunoponesa,pedzisa tsumo,0,0
3,1,7,5,7,0,5,Chara chimwe,hachitswanyi inda,hachibike sadza,hachina ndima,chinoparira,pedzisa tsumo,0,0
3,1,7,5,7,0,6,Kukwira gomo,hupoterera,hufambisa,hufumira,kunoda vaviri,pedzisa tsumo,0,0
3,1,7,5,7,0,7,Gudo guru peta muswe ,kuti vadiki vakutye,tsoko dziwane pekutambira,shumba dzisakuone,usadonhe mumuti,pedzisa tsumo,0,0
3,1,7,5,7,0,8,Kezeza chati kwata ,hunge une katurike,hunge une kanyaya,hunge une makuhwa,hunge uri murombo,pedzisa tsumo,0,0
3,1,7,5,7,0,9,rume rimwe,harikombe churu,rinoruta,harina ndima,hariroore,pedzisa tsumo,0,0
3,1,7,5,7,0,10,rega dzive shiri,mazai haana muto,tiwane chinotivaraidza,dhimba haina besu,dzitiimbire,pedzisa tsumo,0,0
3,4,7,5,7,0,1,kubva zano,kuchembera,kushaya zano,kurasika,kuyaruka,dudzira dimikira,0,0
3,4,7,5,7,0,2,kuva neruoko rurefu,kuba,kurima zvikuru,kupa,kudyisa,dudzira dimikira,0,0
3,4,7,5,7,0,3,kusekana kwana kamba,kutsvinyirana kwevanhu vane urema hwakafanana,kushora vasingagone kumhanya,kuseka munhu asingageze,kutukana zvikuru,dudzira dimikira,0,0
3,4,7,5,7,0,4,kudya moto,kupopota zvakanyanya,kuva nezvivindi,kunyeba,kutya,dudzira dimikira,0,0
3,4,7,5,7,0,5,kutsenga mvura,kudadada,kufarisa,kupopota,kutsvedza,dudzira dimikira,0,0
3,9,7,5,7,0,1,kakomana kemisikanzwa kakanzi _______ nembama,watsu,dhi,bho,zvambu,sarudza nyaudzosingwi yakakodzera,0,0
3,9,7,5,7,0,2,amai vakatungidza mwenje mumba muchibva mati _______,gwee,ndoo,zee,piriviri,sarudza nyaudzosingwi yakakodzera,0,0
