3,19,7,5,7,0,1,Nyaudzosingwi yakashandiswa mundima ndi ________,tsve,kuhuva,pfuko,mbiya,sarudza mhinduro yakakodzera,1,0
3,19,7,5,7,0,2,Izwi rinoreva hari yemaheu ndi ________,pfuko,mbiya,huva,bani,sarudza mhinduro yakakodzera,1,0
3,19,7,5,7,0,3,Hari dzinogara pa ________,huva,pfuko,mbiya,guyo,sarudza mhinduro yakakodzera,1,0
3,19,7,5,7,0,4,Mufaro naKundai vaive chii kuna Kudzai?,shamwari,vakoma,madzisekuru,vazukuru,sarudza mhinduro yakakodzera,1,0
3,19,7,5,7,0,5,Ndiani akanzwa mutsindo?,Kudzai,Kundai,Mufaro ,hameno,sarudza mhinduro yakakodzera,1,0
3,19,7,7,7,0,1,Chii chakaita kuti munyori wenyaya iyi akwanise kukurumidza kubuda mumba?,aive akapfeka kare,aive akasvinura,aive akachenjera,aive mukomana wechidiki,sarudza mhinduro yakakodzera,2,0
3,19,7,7,7,0,2,Munyori akamutswa nei?,kugogodzwa kwegonhi,kurira kwebhora,kukukuridza kwejongwe,mutsindo waTapera,sarudza mhinduro yakakodzera,2,0
3,19,7,7,7,0,3,Mapango anovhariswa pamusuo wedanga anonzi ________,mahwere,mbariro,nduni,utonga,sarudza mhinduro yakakodzera,2,0
3,19,7,7,7,0,4,Chiri kunzi nduni i________,tsvimbo,banga,demo,mbezo,sarudza mhinduro yakakodzera,2,0
3,19,7,7,7,0,5,Chii chairatidza kuti kunze kwaive kwoyedza?,utonga hwaive hwotsvuka,kurira kwemachongwe,kukuma kwemombe,kurira kwetyava,sarudza mhinduro yakakodzera,2,0
3,19,7,7,7,0,6,Kukwitimisa mombe ________,kudzimhanyisa,kudzisunga pajoki,kukama mukaka,kudzivhurira mudanga,sarudza mhinduro yakakodzera,2,0
