3,1,7,0,7,2,4,4,0,0,Pabva bango ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,1,0,0,Seka hurema ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,10,0,0,Ane ganda ane nyama ________,2,"Pedzisa Tsumo								",0,0,Yes
3,1,7,0,7,0,0,11,0,0,Mwana asingacheme ________,2,"Pedzisa Tsumo										",0,0,Yes
3,1,7,0,7,0,0,12,0,0,Reva ishe ________,2,"Pedzisa Tsumo										",0,0,Yes
3,1,7,0,7,0,0,13,0,0,Chidyamatoo ________,2,"Pedzisa Tsumo Iyi										",0,0,Yes
3,1,7,0,7,0,0,2,0,0,Zanondega ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,3,0,0,Chisi hachieri ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,4,0,0,Rurimi ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,5,0,0,Mwana wamambo ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,6,0,0,Kugarika ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,7,0,0,Chisi chako ________,2,Pedzisa tsumo,0,0,Yes
3,1,7,0,7,0,0,8,0,0,Nhamo inhamo zvayo ________,2,Pedzisa Tsumo,0,0,Yes
3,1,7,0,7,0,0,9,0,0,Chave chigondora chave chimombe ________,2,Pedzisa tsumo iyi,0,0,Yes
3,8,7,0,7,2,3,3,0,0,Gwanza rinowanikwa pakati pemazino riri rekuzvarwa naro rinonzi ________,2,,0,0,Yes
3,8,7,0,7,2,5,5,0,0,Zuva risingarimwe rinonzi ________,2,,0,0,Yes
3,8,7,0,7,3,1,1,0,0,Vana vakarasika mu ________ remazhanje,3,,0,0,Yes
3,13,7,0,7,3,3,3,0,0,Rume rakaruma ________ richikwidza makata,3,Verenga ndima ugopindura mibvunzo,1,0,Yes
3,8,7,0,7,4,5,5,0,0,Baba vembudzi vanonzi ________,2,Zadzisa pakashama,0,0,Yes
3,11,7,0,7,3,2,2,0,0,Baba vakatema ndokuriga ________ yemuti,3,Zadzisa pakashama,0,0,Yes
