3~7~29~1~vharira~pinza~unza~dzorera~pinza~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~1~pinza~0~pupil6~2021-12-15 21:44:58
3~7~5~2~pedyo nemusha~pamusoro pemusha~kunze kwemusha~pasi pemusha~kunze kwemusha~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~pedyo nemusha~0~pupil6~2021-12-15 21:44:58
3~7~25~3~rweruboshwe~rupfupi~rurefu~rukuru~rweruboshwe~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~1~rweruboshwe~0~pupil6~2021-12-15 21:44:58
3~7~23~4~kwakachena~kwakasviba~kwakaedza~kwakanaya~kwakaedza~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~kwakachena~0~pupil6~2021-12-15 21:44:58
3~7~14~5~mhepo~rima~mhute~mvura~rima~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~mhepo~0~pupil6~2021-12-15 21:44:58
3~7~4~6~pedyo~panze~pamusoro~pakati~pamusoro~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~pedyo~0~pupil6~2021-12-15 21:44:58
3~7~6~7~aramba~ataura~aita~atora~aramba~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~1~aramba~0~pupil6~2021-12-15 21:44:58
3~7~19~8~yakapamhama~yakareba~yakatwasuka~ipfupi~yakatwasuka~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~yakapamhama~0~pupil6~2021-12-15 21:44:58
3~7~27~9~anorema~akanaka~anopenya~akasimba~anorema~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~1~anorema~0~pupil6~2021-12-15 21:44:58
3~7~21~10~husimbe~hupfumi~hundyire~hushingi~hupfumi~Sarudza izwi rinoreva zvinopikisana nerakatarwa~0~0~MC~0~husimbe~0~pupil6~2021-12-15 21:44:58
